The number after B is the patent number
B3367320   19811229 B1
B4103753   19820223 B1
B4032816   19820413 B1
B3703718   19820413 B1
B3751826   19820413 B1
B3253944   19820413 B1
B4246240   19820601 B1
B3654090   19820720 B1
B4156830   19820720 B1
B4016395   19820803 B1
B3614368   19820803 B1
B3187234   19820907 B1
B3651418   19820907 B1
B4148414   19820921 B1
B4117195   19820921 B1
B4219004   19820928 B1
B3160264   19820928 B1
B3449567   19821005 B1
B4104156   19821019 B1
B4209280   19821019 B1
B3865678   19821019 B1
B4182460   19821019 B1
B3848303   19821026 B1
B3777341   19821026 B1
B4257561   19821026 B1
B4081757   19821102 B1
B3986378   19821102 B1
B4270967   19821102 B1
B4119995   19821102 B1
B3598122   19821123 B1
B3742951   19821123 B1
B4240184   19821123 B1
B3942969   19830110 B1
B4208965   19830110 B1
B4261953   19830111 B1
B4255962   19830111 B1
B3553638   19830111 B1
B3952741   19830118 B1
B4111204   19830118 B1
B3386435   19830118 B1
B3625268   19830125 B1
B4122508   19830125 B1
B3517899   19830125 B1
B3328231   19830125 B1
B4173910   19830201 B1
B4016880   19830201 B1
B4083229   19830201 B1
B4251727   19830208 B1
B4272684   19830301 B1
B4070256   19830301 B1
B3459353   19830301 B1
B4209438   19830308 B1
B4142926   19830308 B1
B4053916   19830308 B1
B3634973   19830315 B1
B3931088   19830315 B1
B4099219   19830315 B1
B4264083   19830322 B1
B3950850   19830322 B1
B3518946   19830322 B1
B4182755   19830329 B1
B4031289   19830329 B1
B4048544   19830329 B1
B3621243   19830405 B1
B4144212   19830405 B1
B3956540   19830405 B1
B4295004   19830412 B1
B4189034   19830412 B1
B3344023   19830412 B1
B3902606   19830419 B1
B3953309   19830419 B1
B4271149   19830419 B1
B4162149   19830426 B1
B4200932   19830426 B1
B3811830   19830503 B1
B4092776   19830503 B1
B4110240   19830517 B1
B3521412   19830517 B1
B4287537   19830524 B1
B4190041   19830524 B1
B4029450   19830524 B1
B4129021   19830531 B1
B3796048   19830531 B1
B4288775   19830531 B1
B3956667   19830607 B1
B4116718   19830607 B1
B4021990   19830607 B1
B4196979   19830614 B1
B4355032   19830614 B1
B3400012   19830614 B1
B4082484   19830621 B1
B4219318   19830621 B1
B3863006   19830621 B1
B3887450   19830628 B1
BRE29285   19830705 F1
B4295096   19830705 B1
B3892984   19830705 B1
B3866100   19830712 B1
B2968164   19830712 B1
B3708779   19830712 B1
B4073296   19830719 B1
B3707126   19830719 B1
B4228528   19830726 B1
B4074990   19830809 B1
B4096202   19830809 B1
B4208747   19830816 B1
B4162351   19830816 B1
B3743260   19830816 B1
B3476438   19830816 B1
B4332282   19830816 B1
B4200459   19830823 B1
B3747620   19830830 B1
B3337331   19830927 B1
B4294764   19830927 B1
B3436777   19830927 B1
B3449280   19831004 B1
B4270596   19831004 B1
B4229211   19831004 B1
B4287216   19831011 B1
B4266236   19831011 B1
B4215431   19831011 B1
B3648768   19831018 B1
B4146489   19831108 B1
B3558040   19831108 B1
B4219126   19831108 B1
B4358573   19831115 B1
B3962136   19831115 B1
B4174332   19831115 B1
B3512495   19831122 B1
B4134769   19831122 B1
B4265393   19831129 B1
B4010756   19831129 B1
B4116358   19831129 B1
B3237132   19831206 B1
B3434165   19831206 B1
B3597549   19831206 B1
B3982419   19831206 B1
B4218438   19831213 B1
B4360288   19831213 B1
B4305296   19831213 B1
B4216767   19831220 B1
B4260840   19840112 B1
B4302465   19840124 B1
B4113845   19840124 B1
B4118413   19840124 B1
B3720760   19840207 B1
B3634228   19840207 B1
B4034210   19840207 B1
B4059405   19840207 B1
B4231383   19840214 B1
B3952776   19840214 B1
